Date,Recovered,Cumulative Recovered,Imported Case,Local Case,Active Case,New Case,Cumulative Case,ICU,Ventilator,Death,Cumulative Death,URL
07-06-20,39,6674,,,,19,8322,5,5,0,117,https://kpkesihatan.com/2020/06/07/kenyataan-akhbar-kpk-7-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
08-06-20,20,6694,,,,7,8329,6,1,0,117,https://kpkesihatan.com/2020/06/08/kenyataan-akhbar-kpk-8-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
09-06-20,281,6975,,,,7,8336,6,1,0,117,https://kpkesihatan.com/2020/06/09/kenyataan-akhbar-kpk-9-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
10-06-20,39,7014,,,,2,8338,5,5,1,118,https://kpkesihatan.com/2020/06/10/kenyataan-akhbar-kpk-10-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
11-06-20,51,7065,,,,31,8369,5,5,0,118,https://kpkesihatan.com/2020/06/11/kenyataan-akhbar-kpk-11-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
12-06-20,103,7168,,,,33,8402,4,4,1,119,https://kpkesihatan.com/2020/06/12/kenyataan-akhbar-kpk-12-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
13-06-20,143,7311,,,,43,8445,4,4,1,120,https://kpkesihatan.com/2020/06/13/kenyataan-akhbar-kpk-13-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
14-06-20,35,7346,,,,8,8453,4,4,1,121,https://kpkesihatan.com/2020/06/14/kenyataan-akhbar-kpk-14-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
15-06-20,54,7400,,,,41,8494,4,4,0,121,https://kpkesihatan.com/2020/06/15/kenyataan-akhbar-kpk-15-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
16-06-20,333,7733,,,,11,8505,4,4,0,121,https://kpkesihatan.com/2020/06/16/kenyataan-akhbar-kpk-16-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
17-06-20,140,7873,,,,10,8515,4,4,0,121,https://kpkesihatan.com/2020/06/17/kenyataan-akhbar-kpk-17-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
18-06-20,127,8000,,,,14,8529,4,4,0,121,https://kpkesihatan.com/2020/06/18/kenyataan-akhbar-kpk-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
19-06-20,70,8070,,,,6,8535,3,3,0,121,https://kpkesihatan.com/2020/06/19/kenyataan-akhbar-kpk-19-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
20-06-20,76,8146,,,,21,8556,3,3,0,121,https://kpkesihatan.com/2020/06/20/kenyataan-akhbar-kpk-20-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
21-06-20,10,8156,,,,16,8572,3,3,0,121,https://kpkesihatan.com/2020/06/21/kenyataan-akhbar-kpk-21-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
22-06-20,21,8177,,,,15,8587,2,2,0,121,https://kpkesihatan.com/2020/06/22/kenyataan-akhbar-kpk-22-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
23-06-20,9,8186,,,,3,8590,3,3,0,121,https://kpkesihatan.com/2020/06/23/kenyataan-akhbar-kpk-23-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
24-06-20,45,8231,,,,6,8596,2,2,0,121,https://kpkesihatan.com/2020/06/24/kenyataan-akhbar-kpk-24-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
25-06-20,40,8271,,,,4,8600,2,2,0,121,https://kpkesihatan.com/2020/06/25/kenyataan-akhbar-kpk-25-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
26-06-20,23,8294,,,,6,8606,2,2,0,121,https://kpkesihatan.com/2020/06/26/kenyataan-akhbar-kpk-26-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
